,to,weight,relation,source
VfB e.V.,VfB AG,1,1,
TH,Vorstand AG,1,1,
TK,Vorstand AG,1,1,
SH,Vorstand AG,1,1,
JR,Vorstand AG,1,1,
OS,Vorstand AG,1,1,
WP,Aufsichtsrat,1,1,
HJ,Aufsichtsrat,1,1,
Fr,Aufsichtsrat,1,1,
BS,Aufsichtsrat,1,1,
HO,Aufsichtsrat,1,1,
CV,Aufsichtsrat,1,1,
RA,Aufsichtsrat,1,1,
CV,Präsidium,1,1,
RA,Präsidium,1,1,
RM,Präsidium,1,1,
BG,Präsidium,1,1,
ES,Beirat,1,1,
Beirat,VfB e.V.,1,1,
RW,Beirat,1,1,
AB,Beirat,1,1,
HM,Beirat,1,1,
Prof. CS,Beirat,1,1,
WE,Beirat,1,1,
NS,Beirat,1,1,
CM,Beirat,1,1,
JB,Beirat,1,1,
DG,Beirat,1,1,
ES,Beirat,1,1,
Aufsichtsrat,VfB AG,1,1,
Vorstand AG,VfB AG,1,1,
Präsidium,VfB e.V.,1,1,
